"term"|"label"
"Nuclear Power Plants"|"Nuclear Engineering"
"Nuclear Safety"|"Nuclear Engineering"
"Reactor"|"Nuclear Engineering"
"Digital X-ray"|"Nuclear Engineering"
"UV"|"Nuclear Engineering"
"Nuclear Energy"|"Nuclear Engineering"
"Decommissioning"|"Nuclear Engineering"
"Radiation Safety"|"Nuclear Physics"
"Radiation"|"Nuclear Physics"
"Nuclear Physics"|"Nuclear Physics"
"Radiation Detectors"|"Nuclear Physics"
"Radioactive Materials"|"Nuclear Physics"
"Health Physics"|"Nuclear Physics"
"Radiation Effects"|"Nuclear Physics"
"Reactor Physics"|"Nuclear Physics"
"Linear Accelerators"|"Nuclear Physics"
"Nuclear Proliferation Patient Safety"|"Nuclear Physics"
""|"Nuclear Physics"
"Nursing"|"Nursing"
"Basic Life Support (BLS)"|"Nursing"
"Inpatient Care"|"Nursing"
"Critical Care Nursing"|"Nursing"
"Advanced Cardiac Life Support (ACLS)"|"Nursing"
"Patient Education"|"Nursing"
"Acute Care"|"Nursing"
"Working with Physicians"|"Nursing"
"Patient Advocacy"|"Nursing"
"Womens Health"|"Obstetrics"
"Obstetrics and Gynecology"|"Obstetrics"
"Obstetrics"|"Obstetrics"
"Gynecology"|"Obstetrics"
"Pregnancy"|"Obstetrics"
"Midwifery"|"Obstetrics"
"Fertility"|"Obstetrics"
"Infertility"|"Obstetrics"
"Prenatal Care"|"Obstetrics"
"Maternity"|"Obstetrics"
"Scuba Diving"|"Oceanography"
"Oceanography"|"Oceanography"
"Marine Survey"|"Oceanography"
"Marine Conservation"|"Oceanography"
"Climate"|"Oceanography"
"Underwater"|"Oceanography"
"Climatology"|"Oceanography"
"Physical Oceanography"|"Oceanography"
"Biogeochemistry"|"Oceanography"
"Petroleum"|"Oil & Gas"
"Oil & Gas"|"Oil & Gas"
"Gas"|"Oil & Gas"
"Onshore Operations"|"Oil & Gas"
"Petrochemical"|"Oil & Gas"
"Oil & Gas Industry"|"Oil & Gas"
"Piping"|"Oil & Gas"
"Refinery Operations"|"Oil & Gas"
"Natural Gas"|"Oil & Gas"
"Piping and Instrumentation Drawing (P&ID)"|"Oil & Gas"
"Oncology"|"Oncology"
"Cancer"|"Oncology"
"Cancer Research"|"Oncology"
"Chemotherapy"|"Oncology"
"Oncology Clinical Research"|"Oncology"
"Breast Cancer"|"Oncology"
"Cancer Immunotherapy"|"Oncology"
"Pediatric Hematology/Oncology"|"Oncology"
"Cancer Screening"|"Oncology"
"Tumor Immunology"|"Oncology"
"Operational Planning"|"Operational Efficiency"
"KPI Reports"|"Operational Efficiency"
"Demand Planning"|"Operational Efficiency"
"Operational Efficiency"|"Operational Efficiency"
"Performance Reporting"|"Operational Efficiency"
"Process Efficiency"|"Operational Efficiency"
"Inventory Planning"|"Operational Efficiency"
"Arena Simulation Software"|"Operational Efficiency"
"Operational Support"|"Operational Efficiency"
"Metrics Reporting"|"Operational Efficiency"
"Ophthalmology"|"Ophthalmology "
"Optometry"|"Ophthalmology "
"Contact Lenses"|"Ophthalmology "
"Eyewear"|"Ophthalmology "
"Glaucoma"|"Ophthalmology "
"Eye Exams"|"Ophthalmology "
"Lenses"|"Ophthalmology "
"Ocular Disease"|"Ophthalmology "
"Opticians"|"Ophthalmology "
"Dry Eye"|"Ophthalmology "
"Learning Disabilities"|"Oral Comprehension"
"Listen"|"Oral Comprehension"
"Educational Assessment"|"Oral Comprehension"
"Oral Comprehension"|"Oral Comprehension"
"Assistive Listening Devices"|"Oral Comprehension"
"Biochemistry"|"Organic Chemistry"
"High-Performance Liquid Chromatography (HPLC)"|"Organic Chemistry"
"Analytical Chemistry"|"Organic Chemistry"
"Good Laboratory Practice (GLP)"|"Organic Chemistry"
"Organic Chemistry"|"Organic Chemistry"
"ELISA"|"Organic Chemistry"
"Chromatography"|"Organic Chemistry"
"UV/Vis Spectroscopy"|"Organic Chemistry"
"Protein Purification"|"Organic Chemistry"
"Gas Chromatography"|"Organic Chemistry"
"Orthopedic Surgery"|"Orthopedic Surgery"
"Chronic Pain"|"Orthopedic Surgery"
"Spine"|"Orthopedic Surgery"
"Musculoskeletal Physiotherapy"|"Orthopedic Surgery"
"Neck Pain"|"Orthopedic Surgery"
"Outpatient Orthopedics"|"Orthopedic Surgery"
"Podiatry"|"Orthopedic Surgery"
"Neurological Rehabilitation"|"Orthopedic Surgery"
"Orthotics"|"Orthopedic Surgery"
"Knee"|"Orthopedic Surgery"
"Partner Relationship Management"|"Partner Development"
"Partnerships"|"Partner Development"
"Business Alliances"|"Partner Development"
"Startup Development"|"Partner Development"
"Relationship Development"|"Partner Development"
"Strategic Alliances"|"Partner Development"
"Business Relationship Building"|"Partner Development"
"Partner Development"|"Partner Development"
"Channel Account Management"|"Partner Development"
"Channel Relationship Management"|"Partner Development"
"Flow Cytometry"|"Pathology"
"Laboratory Medicine"|"Pathology"
"Toxicology"|"Pathology"
"Pathology"|"Pathology"
"Blood Bank"|"Pathology"
"Biomarkers"|"Pathology"
"Clinical Microbiology"|"Pathology"
"Cancer Biology"|"Pathology"
"Medical Microbiology"|"Pathology"
"Serology"|"Pathology"
"Payroll"|"Payroll Services"
"Payroll Processing"|"Payroll Services"
"ADP Payroll"|"Payroll Services"
"Payroll Administration"|"Payroll Services"
"Payroll Taxes"|"Payroll Services"
"Time & Attendance"|"Payroll Services"
"Payroll Services"|"Payroll Services"
"Kronos"|"Payroll Services"
"Payroll Management"|"Payroll Services"
"Kronos Timekeeping"|"Payroll Services"
"Pediatrics"|"Pediatrics"
"Pediatric CPR"|"Pediatrics"
"Neonatal Intensive Care"|"Pediatrics"
"Neonatal Nursing"|"Pediatrics"
"Neonatology"|"Pediatrics"
"Adolescent Health"|"Pediatrics"
"Pediatric Surgery"|"Pediatrics"
"Child Health"|"Pediatrics"
"Supervisory Skills"|"People Management"
"People Management"|"People Management"
"Team Motivation"|"People Management"
"Team Spirit"|"People Management"
"Team Coordination"|"People Management"
"Conflict Management"|"People Management"
"Staff Training"|"People Management"
"Team Organisation"|"People Management"
"General Management"|"People Management"
"Team Development"|"People Management"
"Coaching"|"Personal Coaching"
"Mentoring"|"Personal Coaching"
"Personal Development"|"Personal Coaching"
"Personal Training"|"Personal Coaching"
"Motivational Speaking"|"Personal Coaching"
"Career Counseling"|"Personal Coaching"
"Coaching & Mentoring"|"Personal Coaching"
"Life Skills"|"Personal Coaching"
"Life Coaching"|"Personal Coaching"
"Business Coaching "|"Personal Coaching"
"Persuasion"|"Persuasion"
"Persistence"|"Persuasion"
"Convincing People"|"Persuasion"
"Influence Others"|"Persuasion"
"Pitching Ideas"|"Persuasion"
"Persuasive Speaker"|"Persuasion"
"Persuasive Presentations"|"Persuasion"
"Make Things Happen"|"Persuasion"
"Argumentation"|"Persuasion"
"Persuader"|"Persuasion"
"Biotechnology"|"Pharmaceutical Manufacturing"
"Good Manufacturing Practice (GMP)"|"Pharmaceutical Manufacturing"
"Standard Operating Procedure (SOP)"|"Pharmaceutical Manufacturing"
"U.S. Food and Drug Administration (FDA)"|"Pharmaceutical Manufacturing"
"Good Clinical Practice (GCP)"|"Pharmaceutical Manufacturing"
"Clinical Development"|"Pharmaceutical Manufacturing"
"Technology Transfer"|"Pharmaceutical Manufacturing"
"CRO Management"|"Pharmaceutical Manufacturing"
"Change Control"|"Pharmaceutical Manufacturing"
"Drug Development"|"Pharmaceutical Manufacturing"
"Clinical Research"|"Pharmaceutics"
"Pharmaceutics"|"Pharmaceutics"
"Clinical Trials"|"Pharmaceutics"
"Pharmaceutical Sales"|"Pharmaceutics"
"Pharmacy"|"Pharmaceutics"
"Pharmacology"|"Pharmaceutics"
"Market Access"|"Pharmaceutics"
"Pharmacovigilance"|"Pharmaceutics"
"Community Pharmacy"|"Pharmaceutics"
"Medication Therapy Management (MTM)"|"Pharmaceutics"
"Photography"|"Photography"
"Adobe Lightroom"|"Photography"
"Image Editing"|"Photography"
"Portrait Photography"|"Photography"
"Lighting"|"Photography"
"Camera"|"Photography"
"Fine Art Photography"|"Photography"
"Photo Shoots"|"Photography"
"Photojournalism"|"Photography"
"Travel Photography"|"Photography"
"Rehabilitation"|"Physical Medicine and Rehabilitation"
"Fitness Training"|"Physical Medicine and Rehabilitation"
"Physical Therapy"|"Physical Medicine and Rehabilitation"
"Sports Injuries"|"Physical Medicine and Rehabilitation"
"Injury Prevention"|"Physical Medicine and Rehabilitation"
"Sports Medicine"|"Physical Medicine and Rehabilitation"
"Manual Therapy"|"Physical Medicine and Rehabilitation"
"Strength & Conditioning"|"Physical Medicine and Rehabilitation"
"Weight Training"|"Physical Medicine and Rehabilitation"
"Exercise Prescription"|"Physical Medicine and Rehabilitation"
"Loss Prevention"|"Physical Security"
"Physical Security"|"Physical Security"
"Security Management"|"Physical Security"
"Workplace Safety"|"Physical Security"
"Surveillance"|"Physical Security"
"Security Operations"|"Physical Security"
"Industrial Safety"|"Physical Security"
"Closed-Circuit Television (CCTV)"|"Physical Security"
"Firefighting"|"Physical Security"
"Emergency Medical Services (EMS)"|"Physical Security"
"Physics"|"Physics"
"Optics"|"Physics"
"Nuclear Magnetic Resonance (NMR)"|"Physics"
"Thermodynamics"|"Physics"
"Heat Transfer"|"Physics"
"NMR Spectroscopy"|"Physics"
"Dynamics"|"Physics"
"Astronomy"|"Physics"
"Biophysics"|"Physics"
"Photonics"|"Physics"
"Cell Culture"|"Physiology"
"Cell Biology"|"Physiology"
"Western Blotting"|"Physiology"
"Microscopy"|"Physiology"
"Confocal Microscopy"|"Physiology"
"Assay Development"|"Physiology"
"Animal Models"|"Physiology"
"Tissue Culture"|"Physiology"
"In Vitro"|"Physiology"
"Immunofluorescence "|"Physiology"
"Plastics"|"Plastics"
"Injection Molding"|"Plastics"
"Extrusion"|"Plastics"
"Plastic Extrusion"|"Plastics"
"Plastic Part Design"|"Plastics"
"Plastics Engineering"|"Plastics"
"Thermoplastics"|"Plastics"
"Blow Molding"|"Plastics"
"Plastics Industry"|"Plastics"
"Mold"|"Plastics"
"Politics"|"Politics"
"Non-Governmental Organizations (NGOs)"|"Politics"
"Diplomacy"|"Politics"
"Political Campaigns"|"Politics"
"Humanitarian"|"Politics"
"Political Consulting"|"Politics"
"Governmental Affairs"|"Politics"
"Foreign Affairs"|"Politics"
"European Politics"|"Politics"
"International Security"|"Politics"
"Power Generation"|"Power Systems"
"Energy Efficiency"|"Power Systems"
"Power Plants"|"Power Systems"
"Solar Energy"|"Power Systems"
"Power Systems"|"Power Systems"
"Power Distribution"|"Power Systems"
"Electrical Design"|"Power Systems"
"Power Electronics"|"Power Systems"
"Electrical Safety"|"Power Systems"
"High Voltage"|"Power Systems"
"3D Printing"|"Printing"
"Digital Printing"|"Printing"
"Pre-press"|"Printing"
"Print Management"|"Printing"
"Offset Printing"|"Printing"
"Screen Printing"|"Printing"
"Color Management"|"Printing"
"Wide Format Printing"|"Printing"
"Variable Data Printing"|"Printing"
"Printing"|"Printing"
"Problem Solving"|"Problem Solving"
"Creative Problem Solving"|"Problem Solving"
"Decision-Making"|"Problem Solving"
"Collaborative Problem Solving"|"Problem Solving"
"High Level Of Accuracy"|"Problem Solving"
"Ethics"|"Problem Solving"
"Problem Analysis"|"Problem Solving"
"Solution Focused"|"Problem Solving"
"Root Cause Problem Solving"|"Problem Solving"
"Analytic Problem Solving"|"Problem Solving"
"Logistics Management"|"Procurement"
"Contract Management"|"Procurement"
"Procurement"|"Procurement"
"International Logistics"|"Procurement"
"Transportation Management"|"Procurement"
"Subcontracting"|"Procurement"
"Strategic Sourcing"|"Procurement"
"Purchase Management"|"Procurement"
"Supply Management"|"Procurement"
"Supplier Negotiation"|"Procurement"
"Product Development"|"Product Development"
"Product Launch"|"Product Development"
"Product Design"|"Product Development"
"Innovation Management"|"Product Development"
"Product Innovation"|"Product Development"
"Product Lifecycle Management"|"Product Development"
"Innovation Development"|"Product Development"
"Commercialization"|"Product Development"
"Product Strategy"|"Product Development"
"Mechanical Product Design"|"Product Development"
"Marketing Strategy"|"Product Marketing"
"Market Research"|"Product Marketing"
"Product Marketing"|"Product Marketing"
"Marketing Management"|"Product Marketing"
"Competitive Analysis"|"Product Marketing"
"Integrated Marketing"|"Product Marketing"
"Market Planning"|"Product Marketing"
"Branding"|"Product Marketing"
"Customer Insight"|"Product Marketing"
"Go- to-market Strategy"|"Product Marketing"
"Quality System"|"Product Testing"
"Validation"|"Product Testing"
"Quality Auditing"|"Product Testing"
"Corrective and Preventive Action (CAPA)"|"Product Testing"
"Nondestructive Testing (NDT)"|"Product Testing"
"Welding Inspection"|"Product Testing"
"QA Engineering"|"Product Testing"
"ISO 17025"|"Product Testing"
"Complaint Investigations"|"Product Testing"
"FDA GMP"|"Product Testing"
"Professional Cleaning"|"Professional Cleaning"
"Carpet Cleaning"|"Professional Cleaning"
"Commercial Cleaning"|"Professional Cleaning"
"Floor Cleaning"|"Professional Cleaning"
"Pressure Washing"|"Professional Cleaning"
"Window Cleaning"|"Professional Cleaning"
"Industrial Cleaning"|"Professional Cleaning"
"Home Cleaning"|"Professional Cleaning"
"Office Cleaning"|"Professional Cleaning"
"House Cleaning"|"Professional Cleaning"
"Sports Management"|"Professional Sports"
"Athletics"|"Professional Sports"
"Football"|"Professional Sports"
"Swimming"|"Professional Sports"
"Soccer"|"Professional Sports"
"Basketball"|"Professional Sports"
"Athletic Training"|"Professional Sports"
"Golf"|"Professional Sports"
"Martial Arts"|"Professional Sports"
"Tennis"|"Professional Sports"
"Project Management"|"Project Management"
"Project Planning"|"Project Management"
"Program Management"|"Project Management"
"Microsoft Project"|"Project Management"
"Software Project Management"|"Project Management"
"Project Coordination"|"Project Management"
"Stakeholder Management"|"Project Management"
"Project Estimation"|"Project Management"
"Agile Project Management"|"Project Management"
"Budget Management"|"Project Management"
"Property Law"|"Property Law"
"Property Damage"|"Property Law"
"Ownership"|"Property Law"
"Estate Law"|"Property Law"
"Title Searches"|"Property Law"
"Low-Income Housing Tax Credit (LIHTC)"|"Property Law"
"Evictions"|"Property Law"
"Private Clients"|"Property Law"
"Chain of Title"|"Property Law"
"Land Use Law"|"Property Law"
"Property Management"|"Property Management"
"Rentals"|"Property Management"
"Working with Tenants"|"Property Management"
"Apartments"|"Property Management"
"Dispositions"|"Property Management"
"Yardi"|"Property Management"
"Commercial Leasing"|"Property Management"
"Affordable Housing"|"Property Management"
"Lettings"|"Property Management"
"Yardi Voyager"|"Property Management"
"Psychiatry"|"Psychiatry"
"Dual Diagnosis"|"Psychiatry"
"Mental Health Treatment"|"Psychiatry"
"Child Psychiatry"|"Psychiatry"
"Addiction Medicine"|"Psychiatry"
"Addiction Psychiatry"|"Psychiatry"
"Geriatric Psychiatry"|"Psychiatry"
"Behavioral Disorders"|"Psychiatry"
"Forensic Psychiatry"|"Psychiatry"
"Deconstruction"|"Psychiatry"
"Psychology"|"Psychology"
"Mental Health"|"Psychology"
"Psychotherapy"|"Psychology"
"Crisis Intervention"|"Psychology"
"Working with Adolescents"|"Psychology"
"Mental Health Counseling"|"Psychology"
"Counseling Psychology"|"Psychology"
"Group Therapy"|"Psychology"
"Cognitive Behavioral Therapy (CBT)"|"Psychology"
"Family Therapy"|"Psychology"
"Public Health"|"Public Health Public Policy"
"Health Education"|"Public Health Public Policy"
"Health Promotion"|"Public Health Public Policy"
"Epidemiology"|"Public Health Public Policy"
"Prevention"|"Public Health Public Policy"
"Community Health"|"Public Health Public Policy"
"Global Health"|"Public Health Public Policy"
"Medical Affairs"|"Public Health Public Policy"
"Health Economics"|"Public Health Public Policy"
"Health Informatics"|"Public Health Public Policy"
"Public Policy"|"Public Policy"
"Government"|"Public Policy"
"International Relations"|"Public Policy"
"Policy Analysis"|"Public Policy"
"Program Evaluation"|"Public Policy"
"International Development"|"Public Policy"
"Public Sector"|"Public Policy"
"Capacity Building"|"Public Policy"
"Local Government"|"Public Policy"
"Government Contracting"|"Public Policy"
"Risk Assessment"|"Public Safety"
"Safety Management Systems"|"Public Safety"
"Emergency Management"|"Public Safety"
"Occupational Health"|"Public Safety"
"Investigation"|"Public Safety"
"Law Enforcement"|"Public Safety"
"Crisis Management"|"Public Safety"
"Environment"|"Public Safety"
"Health"|"Public Safety"
"and Safety (EHS)"|"Public Safety"
"Public Safety"|"Public Safety"
"Criminal Justice"|"Public Safety"
"Radio"|"Radio Production"
"Radio Broadcasting"|"Radio Production"
"Audio Mixing"|"Radio Production"
"Audio Post Production"|"Radio Production"
"Radio Production"|"Radio Production"
"Radio Host"|"Radio Production"
"Podcasting"|"Radio Production"
"Radio Advertising"|"Radio Production"
"Emcee"|"Radio Production"
"Radio Promotions"|"Radio Production"
"Medical Imaging"|"Radiology"
"Radiology"|"Radiology"
"Digital Imaging"|"Radiology"
"Picture Archiving and Communication System (PACS)"|"Radiology"
"Medical Ultrasound"|"Radiology"
"X-ray"|"Radiology"
"Medical Diagnostics"|"Radiology"
"MRI"|"Radiology"
"Computed Tomography"|"Radiology"
"DICOM"|"Radiology"
"Reading Comprehension"|"Reading Comprehension"
"Critical Reading"|"Reading Comprehension"
"Reading Intervention"|"Reading Comprehension"
"Memorization"|"Reading Comprehension"
"Guided Reading"|"Reading Comprehension"
"Balanced Literacy"|"Reading Comprehension"
"Real Estate"|"Real Estate"
"Investment Properties"|"Real Estate"
"Residential Real Estate"|"Real Estate"
"Real Estate Transactions"|"Real Estate"
"Real Estate Development"|"Real Estate"
"Commercial Real Estate"|"Real Estate"
"Working with First-Time Home Buyers"|"Real Estate"
"Sellers"|"Real Estate"
"Renovation"|"Real Estate"
"Single Family Homes"|"Real Estate"
"Outdoor Recreation"|"Recreation"
"Casino Gaming"|"Recreation"
"Swim Instruction"|"Recreation"
"Rock Climbing"|"Recreation"
"Chess"|"Recreation"
"Outdoor Adventures"|"Recreation"
"Activity Coordination"|"Recreation"
"Boating"|"Recreation"
"Recreation"|"Recreation"
"Mountaineering"|"Recreation"
"Recruiting"|"Recruiting"
"Interviewing"|"Recruiting"
"Sourcing"|"Recruiting"
"Hiring"|"Recruiting"
"Technical Recruiting"|"Recruiting"
"Executive Search"|"Recruiting"
"Screening"|"Recruiting"
"Contract Recruitment"|"Recruiting"
"Applicant Tracking Systems"|"Recruiting"
"IT Recruitment"|"Recruiting"
"Theology"|"Religious Studies"
"Preaching"|"Religious Studies"
"Pastoral Care"|"Religious Studies"
"Youth Ministry"|"Religious Studies"
"Discipleship"|"Religious Studies"
"Biblical Studies"|"Religious Studies"
"Religion"|"Religious Studies"
"Pastoral Counseling"|"Religious Studies"
"Church Events"|"Religious Studies"
"Spiritual Direction"|"Religious Studies"
"Research"|"Research"
"Research and Development (R&D)"|"Research"
"Qualitative Research"|"Research"
"Laboratory Skills"|"Research"
"Quantitative Research"|"Research"
"Research Design"|"Research"
"Survey Design"|"Research"
"Qualitative & Quantitative Research Methodologies"|"Research"
"Survey Research"|"Research"
"Qualtrics"|"Research"
"Retail"|"Retail"
"Merchandising"|"Retail"
"Forecasting"|"Retail"
"Visual Merchandising"|"Retail"
"Store Management"|"Retail"
"Fast-Moving Consumer Goods (FMCG)"|"Retail"
"Cashiering"|"Retail"
"Cash Handling"|"Retail"
"Luxury Goods"|"Retail"
"Point of Sale (POS) Systems"|"Retail"
"Packaging Design"|"Retail Packaging"
"Retail Packaging"|"Retail Packaging"
"Packaging Engineering"|"Retail Packaging"
"Corrugated"|"Retail Packaging"
"Pharmaceutical Packaging"|"Retail Packaging"
"ArtiosCAD"|"Retail Packaging"
"Packaging Machinery"|"Retail Packaging"
"Point of Purchase"|"Retail Packaging"
"POP Displays"|"Retail Packaging"
"Folding Cartons "|"Retail Packaging"
"Revenue Analysis"|"Revenue Analysis"
"Yield Management"|"Revenue Analysis"
"Revenue Cycle"|"Revenue Analysis"
"Revenue Forecasting"|"Revenue Analysis"
"Revenue Cycle Management"|"Revenue Analysis"
"Fundamental Analysis"|"Revenue Analysis"
"Return on Investment Analysis"|"Revenue Analysis"
"Goal Analysis"|"Revenue Analysis"
"Pricing Optimization"|"Revenue Analysis"
"Revenue Enhancement"|"Revenue Analysis"
"Automation"|"Robotics"
"Robotics"|"Robotics"
"Process Automation"|"Robotics"
"Robotic Process Automation (RPA)"|"Robotics"
"Electrical Controls"|"Robotics"
"Mechatronics"|"Robotics"
"Electro-mechanical"|"Robotics"
"Machine Design"|"Robotics"
"Industrial Automation"|"Robotics"
"UiPath"|"Robotics"
"Salesforce.com"|"Sales Leads"
"Lead Generation"|"Sales Leads"
"Salesforce.com Administration"|"Sales Leads"
"Inbound Marketing"|"Sales Leads"
"Demand Generation"|"Sales Leads"
"Client Prospecting"|"Sales Leads"
"Key Account Relationship Building"|"Sales Leads"
"Lead Management"|"Sales Leads"
"Social Selling"|"Sales Leads"
"Inbound Lead Generation"|"Sales Leads"
"Customer Relationship Management (CRM)"|"Sales Operations"
"Sales Operations"|"Sales Operations"
"Business-to-Business (B2B)"|"Sales Operations"
"Retail Sales"|"Sales Operations"
"Client Relations"|"Sales Operations"
"Pre-sales"|"Sales Operations"
"Sales & Marketing"|"Sales Operations"
"Pricing Strategy"|"Sales Operations"
"Sales Presentations"|"Sales Operations"
"Trade Shows"|"Sales Operations"
"MATLAB"|"Scientific Computing"
"SASS"|"Scientific Computing"
"Finite Element Analysis (FEA)"|"Scientific Computing"
"Simulink"|"Scientific Computing"
"Bioinformatics"|"Scientific Computing"
"Abaqus"|"Scientific Computing"
"High Performance Computing (HPC)"|"Scientific Computing"
"Scientific Computing"|"Scientific Computing"
"Creo"|"Scientific Computing"
"Hypermesh"|"Scientific Computing"
"Signal Processing"|"Signal Processing"
"Digital Signal Processing"|"Signal Processing"
"Image Analysis"|"Signal Processing"
"Encoding"|"Signal Processing"
"Audio Processing"|"Signal Processing"
"Signal Integrity"|"Signal Processing"
"Video Processing"|"Signal Processing"
"Kalman filtering"|"Signal Processing"
"Image Segmentation"|"Signal Processing"
"Acoustic Measurement"|"Signal Processing"
"Social Media"|"Social Media"
"Facebook"|"Social Media"
"Blogging"|"Social Media"
"Instagram"|"Social Media"
"Twitter"|"Social Media"
"YouTube"|"Social Media"
"Social Media Optimization (SMO)"|"Social Media"
"Social Media Advertising"|"Social Media"
"Blogger"|"Social Media"
"Social Media Blogging"|"Social Media"
"Interpersonal Relationships"|"Social Perceptiveness"
"Emotional Intelligence"|"Social Perceptiveness"
"Cross-cultural Communication Skills"|"Social Perceptiveness"
"Cultural Awareness"|"Social Perceptiveness"
"Commercial Awareness"|"Social Perceptiveness"
"Social Justice"|"Social Perceptiveness"
"Intercultural Skills"|"Social Perceptiveness"
"Cross-cultural Teams"|"Social Perceptiveness"
"Discretion"|"Social Perceptiveness"
"Social Responsibility"|"Social Perceptiveness"
"Case Management"|"Social Services"
"Social Services"|"Social Services"
"Behavioral Health"|"Social Services"
"Motivational Interviewing"|"Social Services"
"Youth Development"|"Social Services"
"Social Work"|"Social Services"
"Child Welfare"|"Social Services"
"Assessment"|"Social Services"
"Youth Work"|"Social Services"
"Child Advocacy"|"Social Services"
"Sociology"|"Sociology"
"Cultural Diversity"|"Sociology"
"Ethnography"|"Sociology"
"Social Research"|"Sociology"
"Political Philosophy"|"Sociology"
"Qualitative Data"|"Sociology"
"Quantitative Data"|"Sociology"
"Semiotics"|"Sociology"
"Demography"|"Sociology"
"Exit Surveys"|"Sociology"
"Testing"|"Software Testing"
"Test Automation"|"Software Testing"
"Manual Testing"|"Software Testing"
"User Acceptance Testing"|"Software Testing"
"Test Planning"|"Software Testing"
"Regression Testing"|"Software Testing"
"Selenium"|"Software Testing"
"Software Testing"|"Software Testing"
"Test Cases"|"Software Testing"
"Functional Testing"|"Software Testing"
"Sports Coaching"|"Sports Coaching"
"Strength Training"|"Sports Coaching"
"Sports Nutrition"|"Sports Coaching"
"Fitness Instruction"|"Sports Coaching"
"Football Coaching"|"Sports Coaching"
"Soccer Coaching"|"Sports Coaching"
"Endurance"|"Sports Coaching"
"Sports Training"|"Sports Coaching"
"CrossFit"|"Sports Coaching"
"Gymnastics"|"Sports Coaching"
"Engineering Design"|"Structural Analysis"
"Structural Analysis"|"Structural Analysis"
"Bridges"|"Structural Analysis"
"Calculations"|"Structural Analysis"
"Stress Analysis"|"Structural Analysis"
"Project Design"|"Structural Analysis"
"Specifications"|"Structural Analysis"
"FEM analysis"|"Structural Analysis"
"CYPE"|"Structural Analysis"
"Mechanical Analysis"|"Structural Analysis"
"Structural Engineering"|"Structural Engineering"
"Mathcad"|"Structural Engineering"
"Autodesk Robot Structural Analysis"|"Structural Engineering"
"ASTM standards"|"Structural Engineering"
"Concrete Materials"|"Structural Engineering"
"Structural Calculations"|"Structural Engineering"
"Midas"|"Structural Engineering"
"ACI Codes"|"Structural Engineering"
"Pile Foundations"|"Structural Engineering"
"Steel Making"|"Structural Engineering"
"Windows"|"System Administration"
"Operating Systems"|"System Administration"
"Active Directory"|"System Administration"
"System Administration"|"System Administration"
"Virtualization"|"System Administration"
"VMware"|"System Administration"
"Disaster Recovery"|"System Administration"
"Microsoft Exchange"|"System Administration"
"Domain Name System (DNS)"|"System Administration"
"Powershell"|"System Administration"
"Tax"|"Tax Accounting"
"Income Tax"|"Tax Accounting"
"Tax Preparation"|"Tax Accounting"
"Tax Accounting"|"Tax Accounting"
"Corporate Tax"|"Tax Accounting"
"Value-Added Tax (VAT)"|"Tax Accounting"
"Tax Advisory"|"Tax Accounting"
"International Tax"|"Tax Accounting"
"Sales Tax"|"Tax Accounting"
"Transfer Pricing"|"Tax Accounting"
"Tax Law"|"Tax Law"
"Revenue Recognition"|"Tax Law"
"Unsecured Loans"|"Tax Law"
"FIN 48"|"Tax Law"
"CLO"|"Tax Law"
"Chapter 11"|"Tax Law"
"Deferred Revenue"|"Tax Law"
"Tax Treaties"|"Tax Law"
"Intangible Assets"|"Tax Law"
"Closing Entries"|"Tax Law"
"Teaching"|"Teaching"
"Tutoring"|"Teaching"
"Lecturing"|"Teaching"
"Language Teaching"|"Teaching"
"English Teaching"|"Teaching"
"Teaching English as a Second Language"|"Teaching"
"Teaching English as a Foreign Language"|"Teaching"
"Sales Trainings"|"Teaching"
"Teaching Writing"|"Teaching"
"Interdisciplinary Collaboration"|"Teaching"
"Teamwork"|"Teamwork"
"Cross-functional Coordination"|"Teamwork"
"Build Strong Relationships"|"Teamwork"
"Cross-team Collaboration"|"Teamwork"
"Cross Functional Team Building"|"Teamwork"
"Cooperative"|"Teamwork"
"Sociability"|"Teamwork"
"Group Presentations"|"Teamwork"
"Collaboration Solutions"|"Teamwork"
"Collaborative Work"|"Teamwork"
"Troubleshooting"|"Technical Support"
"Technical Support"|"Technical Support"
"ITIL"|"Technical Support"
"IT Service Management"|"Technical Support"
"IT Strategy"|"Technical Support"
"IT Management"|"Technical Support"
"Contact Centers"|"Technical Support"
"Windows 7"|"Technical Support"
"Software Installation"|"Technical Support"
"Service Delivery"|"Technical Support"
"Agile Methodologies"|"Software Development Life Cycle (SDLC)"
"Integration"|"Software Development Life Cycle (SDLC)"
"Requirements Analysis"|"Software Development Life Cycle (SDLC)"
"Scrum"|"Software Development Life Cycle (SDLC)"
"Software Development Life Cycle (SDLC)"|"Software Development Life Cycle (SDLC)"
"Solution Architecture"|"Software Development Life Cycle (SDLC)"
"Requirements Gathering"|"Software Development Life Cycle (SDLC)"
"Unified Modeling Language (UML)"|"Software Development Life Cycle (SDLC)"
"Systems Engineering"|"Software Development Life Cycle (SDLC)"
"Software Design"|"Software Development Life Cycle (SDLC)"
"Telecommunications"|"Telecommunications"
"Mobile Devices"|"Telecommunications"
"Wireless Technologies"|"Telecommunications"
"GSM"|"Telecommunications"
"LTE"|"Telecommunications"
"3G"|"Telecommunications"
"Radio Frequency (RF)"|"Telecommunications"
"Unified Communications"|"Telecommunications"
"Telephony"|"Telecommunications"
