"term"|"label"
"Geology"|"Earth Science"
"Global Positioning System (GPS)"|"Earth Science"
"Quantum GIS"|"Earth Science"
"Remote Sensing"|"Earth Science"
"Geological Mapping"|"Earth Science"
"Earth Science"|"Earth Science"
"Cartography"|"Earth Science"
"Spatial Analysis"|"Earth Science"
"Economics"|"Economics"
"Stata"|"Economics"
"Econometrics"|"Economics"
"Quantitative Analytics"|"Economics"
"Macroeconomics"|"Economics"
"EViews"|"Economics"
"Economic Research"|"Economics"
"Microeconomics"|"Economics"
"International Economics"|"Economics"
"Energy Markets"|"Economics"
"Editing"|"Editing"
"Proofreading"|"Editing"
"Copy Editing"|"Editing"
"Text Editing"|"Editing"
"English Grammar"|"Editing"
"Fact-checking"|"Editing"
"Punctuation"|"Editing"
"Web Editing"|"Editing"
"Editorial Process"|"Editing"
"Script Editing"|"Editing"
"Educational Leadership"|"Educational Administration"
"Student Affairs"|"Educational Administration"
"Diversity & Inclusion"|"Educational Administration"
"Student Development"|"Educational Administration"
"Academic Advising"|"Educational Administration"
"Technology Integration"|"Educational Administration"
"Admissions"|"Educational Administration"
"Educational Consulting"|"Educational Administration"
"Student Recruiting"|"Educational Administration"
"Curriculum Mapping"|"Educational Administration"
"Educational Workshops"|"Educational Research"
"Educational Research"|"Educational Research"
"Evidence-Based Practice (EBP)"|"Educational Research"
"ADDIE"|"Educational Research"
"Action Learning"|"Educational Research"
"Educational Management"|"Educational Research"
"Action Research"|"Educational Research"
"Programmable Logic Controller (PLC)"|"Electronic Control Systems"
"Control Systems Design"|"Electronic Control Systems"
"Distributed Control System (DCS)"|"Electronic Control Systems"
"Building Automation"|"Electronic Control Systems"
"PLC Siemens"|"Electronic Control Systems"
"Building Management Systems"|"Electronic Control Systems"
"Variable Frequency Drives"|"Electronic Control Systems"
"Office Managers"|"Electronic Control Systems"
"PLC Ladder Logic"|"Electronic Control Systems"
"Allen-Bradley"|"Electronic Control Systems"
"Electronics"|"Electronics"
"Electrical Wiring"|"Electronics"
"Embedded Systems"|"Electronics"
"Arduino"|"Electronics"
"Semiconductors"|"Electronics"
"Web Services API"|"Electronics"
"Sensors"|"Electronics"
